class_id,class_name,instances,area_mean,area_median,area_min,area_max,w_mean,h_mean
0,plastic,2061,0.026625863144031054,0.00456545625,0.000349139844,0.44835197890600004,0.1049588864628821,0.11720644347404173
1,paper,2099,0.07460081294142497,0.029223543750000004,0.000351575,0.5367187499999999,0.2195502324916627,0.23570672701286327
2,cardboard,2133,0.09195855090760853,0.042636718750000004,0.00047851562499999994,0.541516103906,0.25037798218471635,0.2609030632911392
3,metal,2055,0.07533971578010608,0.039687400000000005,0.00032227499999999996,0.5289986625,0.23953695669099756,0.24965177469586375
4,glass,2123,0.04685418639307254,0.012939375,0.00045654765599999994,0.53805626875,0.15913800423928404,0.17761642204427697
5,organic,2098,0.017840058943417066,0.0029858406249999997,0.000219734375,0.47591760000000005,0.08908855386081982,0.09522608817921831
6,battery,2157,0.1251053341225531,0.09045425,0.0009741195310000001,0.52164588125,0.335355832637923,0.3160400797403801
7,e_waste,2132,0.05832608060873687,0.0335130984375,0.000571303125,0.37824247499999997,0.2157730351782364,0.21458724343339586
8,cloth,2124,0.02822920428179614,0.009895000000000001,0.0003515625,0.41047129140599997,0.1272893027306968,0.14990952165725047
9,other_waste,2075,0.05429260103388193,0.025378422656000002,0.0005908375,0.54505408125,0.18263403325301206,0.2226844934939759
